  Note    Freq Hz     Dur ms
    D4      587.5       67.6
   D#2      155.6       33.8
    D4      587.5       67.6
    F2      174.6       33.8
    D4      587.5       42.2
   ---        0.0       21.1
    B3      494.1        4.2
    G2      196.0       33.8
    B3      494.1       29.6
    D4      587.5       38.0
    F2      174.6       33.8
    D4      587.5       67.6
    G2      196.0       33.8
    D4      587.5       67.6
    F2      174.6       33.8
    D4      587.5       67.6
    G2      196.0       33.8
    D4      587.5       67.6
    F2      174.6       33.8
    D4      587.5       67.6
   G#2      207.7       33.8
    D4      587.5       67.6
   A#2      233.1       33.8
    D4      587.5       67.6
    C3      261.7       33.8
    D4      587.5       67.6
    D3      293.7       33.8
    D4      587.5       67.6
   D#3      311.2       33.8
    D4      587.5       67.6
    F3      349.3       33.8
    D4      587.5       42.2
   ---        0.0       21.1
    C4      523.3        4.2
    G1       98.0       33.8
    C4      523.3       29.6
    D4      587.5       38.0
    F1       87.3       33.8
    D4      587.5       67.6
    G1       98.0       33.8
    D4      587.5       42.2
   ---        0.0       21.1
    C4      523.3        4.2
    F1       87.3       33.8
    C4      523.3       29.6
    D4      587.5       12.7
   ---        0.0       21.1
    C4      523.3        4.2
    G1       98.0       33.8
    C4      523.3       29.6
    D4      587.5       38.0
    F1       87.3       33.8
    D4      587.5       42.2
   ---        0.0       21.1
    C4      523.3        4.2
   G#1      103.8       33.8
    C4      523.3       29.6
    D4      587.5       38.0
   A#1      116.5       33.8
    D4      587.5       67.6
    C2      130.8       33.8
    D4      587.5       42.2
   ---        0.0       21.1
    C4      523.3        4.2
    D2      146.9       33.8
    C4      523.3       29.6
    D4      587.5       12.7
   ---        0.0       21.1
    C4      523.3        4.2
   D#2      155.6       33.8
    C4      523.3       29.6
    D4      587.5       38.0
    F2      174.6       33.8
    D4      587.5       42.2
   ---        0.0       21.1
    B3      494.1        4.2
    G2      196.0       33.8
    B3      494.1       29.6
    D4      587.5       38.0
    F2      174.6       33.8
    D4      587.5       67.6
    G2      196.0       33.8
    D4      587.5       42.2
   ---        0.0       21.1
    B3      494.1        4.2
    F2      174.6       33.8
    B3      494.1       29.6
    D4      587.5       12.7
   ---        0.0       21.1
    B3      494.1        4.2
    G2      196.0       33.8
    B3      494.1       29.6
    D4      587.5       38.0
    F2      174.6       33.8
    D4      587.5       42.2
   ---        0.0       21.1
    B3      494.1        4.2
   G#2      207.7       33.8
    B3      494.1       29.6
    D4      587.5       38.0
   A#2      233.1       33.8
    D4      587.5       67.6
    C3      261.7       33.8
    D4      587.5       42.2
   ---        0.0       21.1
    B3      494.1        4.2
    D3      293.7       33.8
    B3      494.1       29.6
    D4      587.5       12.7
   ---        0.0       21.1
    B3      494.1        4.2
   D#3      311.2       33.8
    B3      494.1       29.6
    D4      587.5       38.0
    F3      349.3       33.8
    D4      587.5       42.2
   ---        0.0       21.1
    C4      523.3        4.2
    G1       98.0       33.8
    C4      523.3       29.6
    D4      587.5       38.0
    F1       87.3       33.8
    D4      587.5       67.6
    G1       98.0       33.8
    D4      587.5       42.2
   ---        0.0       21.1
    C4      523.3        4.2
    F1       87.3       33.8
    C4      523.3       29.6
    D4      587.5       12.7
   ---        0.0       21.1
    C4      523.3        4.2
    G1       98.0       33.8
    C4      523.3       29.6
    D4      587.5       38.0
    F1       87.3       33.8
    D4      587.5       42.2
   ---        0.0       21.1
    C4      523.3        4.2
   G#1      103.8       33.8
    C4      523.3       29.6
    D4      587.5       38.0
   A#1      116.5       33.8
    D4      587.5       67.6
    C2      130.8       33.8
    D4      587.5       42.2
   ---        0.0       21.1
    C4      523.3        4.2
    D2      146.9       33.8
    C4      523.3       29.6
    D4      587.5       12.7
   ---        0.0       21.1
    C4      523.3        4.2
   D#2      155.6       33.8
    C4      523.3       29.6
    D4      587.5       38.0
    F2      174.6       33.8
    D4      587.5       42.2
   ---        0.0       21.1
