  Note    Freq Hz     Dur ms
    B3      494.1       29.6
   ---        0.0      139.4
    G1       98.0       33.8
    B3      494.1       29.6
   ---        0.0      135.2
    D4      587.5       67.6
   ---        0.0       38.0
    G2      196.0       33.8
   ---        0.0       67.6
    G1       98.0       33.8
    B3      494.1       29.6
   ---        0.0      139.4
    G1       98.0       33.8
    B3      494.1       29.6
   ---        0.0      135.2
    D4      587.5       67.6
   ---        0.0       38.0
    G2      196.0       33.8
   ---        0.0       67.6
    G1       98.0       33.8
    B3      494.1       29.6
   ---        0.0      139.4
    C1       65.4       33.8
   D#3      311.2       29.6
   ---        0.0      135.2
    G3      392.1       67.6
   ---        0.0       38.0
    C2      130.8       33.8
   ---        0.0       67.6
    C1       65.4       33.8
    C4      523.3       29.6
   ---        0.0      139.4
    C1       65.4       33.8
   D#3      311.2       29.6
   ---        0.0      135.2
    G3      392.1       67.6
   ---        0.0       38.0
    C2      130.8       33.8
   ---        0.0       67.6
    C1       65.4       33.8
    C4      523.3       29.6
   ---        0.0      139.4
    F1       87.3       33.8
   G#3      415.5       29.6
   ---        0.0      139.4
   G#1      103.8       33.8
    C4      523.3       29.6
   ---        0.0      139.4
    C2      130.8       33.8
    F4      698.6       29.6
   ---        0.0      139.4
    C1       65.4       33.8
   D#3      311.2       29.6
   ---        0.0      135.2
    G3      392.1       67.6
   ---        0.0       38.0
    C2      130.8       33.8
   ---        0.0       67.6
    C1       65.4       33.8
    C4      523.3       29.6
   ---        0.0      139.4
    C1       65.4       33.8
   D#3      311.2       29.6
   ---        0.0      135.2
    G3      392.1       67.6
   ---        0.0       38.0
    C2      130.8       33.8
   ---        0.0       67.6
    C1       65.4       33.8
    C4      523.3       29.6
   ---        0.0      139.4
    F1       87.3       33.8
   G#3      415.5       29.6
   ---        0.0      139.4
   G#1      103.8       33.8
    C4      523.3       29.6
   ---        0.0      139.4
    C2      130.8       33.8
    F4      698.6       29.6
   ---        0.0      139.4
    C1       65.4       33.8
   D#3      311.2       29.6
   ---        0.0      135.2
    G3      392.1       67.6
   ---        0.0       38.0
    C2      130.8       33.8
   ---        0.0       67.6
    C1       65.4       33.8
    C4      523.3       29.6
   ---        0.0      139.4
    C1       65.4       33.8
   D#3      311.2       29.6
   ---        0.0      135.2
    G3      392.1       67.6
   ---        0.0       38.0
    C2      130.8       33.8
   ---        0.0       67.6
    C1       65.4       33.8
    C4      523.3       29.6
   ---        0.0      139.4
    F1       87.3       33.8
    A3      440.1       29.6
   ---        0.0      139.4
    A1      110.0       33.8
    C4      523.3       29.6
   ---        0.0      139.4
    C2      130.8       33.8
    F4      698.6       29.6
   ---        0.0      139.4
   G#1      103.8       33.8
    C4      523.3       29.6
   ---        0.0      342.2
   G#1      103.8       33.8
   ---        0.0      169.0
   G#1      103.8       33.8
   ---        0.0      371.8
   G#1      103.8       33.8
   ---        0.0      169.0
   G#1      103.8       33.8
   ---        0.0      371.8
   G#1      103.8       33.8
    C4      523.3       29.6
   ---        0.0      139.4
   G#1      103.8       33.8
   C#4      554.5       29.6
   ---        0.0      342.2
   G#1      103.8       33.8
   C#4      554.5       29.6
   ---        0.0      139.4
   G#1      103.8       33.8
    C4      523.3       29.6
   ---        0.0      342.2
   G#1      103.8       33.8
   ---        0.0      169.0
   G#1      103.8       33.8
   ---        0.0      371.8
   G#1      103.8       33.8
    C4      523.3       29.6
   ---        0.0      139.4
   G#1      103.8       33.8
   C#4      554.5       29.6
   ---        0.0      342.2
   G#1      103.8       33.8
   C#4      554.5       29.6
   ---        0.0      139.4
    B1      123.5       33.8
   D#4      622.4       29.6
   ---        0.0      240.8
   C#2      138.6       33.8
   ---        0.0       67.6
   D#2      155.6       33.8
   ---        0.0      169.0
    E2      164.6       33.8
    B3      494.1       29.6
   ---        0.0      545.0
    C2      130.8       33.8
    E4      658.5       29.6
   ---        0.0      135.2
    D4      587.5       67.6
   ---        0.0      135.2
    C4      523.3       67.6
   ---        0.0      139.4
    B1      123.5       33.8
    B3      494.1       29.6
   ---        0.0      135.2
    G3      392.1       67.6
   ---        0.0      135.2
    D3      293.7       67.6
   ---        0.0      139.4
    A1      110.0       33.8
   C#4      554.5       29.6
   ---        0.0      342.2
    A1      110.0       33.8
   ---        0.0      169.0
    A1      110.0       33.8
   ---        0.0      371.8
    A1      110.0       33.8
   C#4      554.5       29.6
   ---        0.0      139.4
    A1      110.0       33.8
    D4      587.5       29.6
   ---        0.0      342.2
    A1      110.0       33.8
   ---        0.0      169.0
    A1      110.0       33.8
   C#4      554.5       29.6
   ---        0.0      342.2
    A1      110.0       33.8
   ---        0.0      169.0
    A1      110.0       33.8
   ---        0.0      371.8
    A1      110.0       33.8
   C#4      554.5       29.6
   ---        0.0      139.4
    D2      146.9       33.8
    D4      587.5       29.6
   ---        0.0      139.4
    C2      130.8       33.8
   ---        0.0      169.0
   A#1      116.5       33.8
   ---        0.0      169.0
    A1      110.0       33.8
   C#4      554.5       29.6
   ---        0.0      342.2
    A1      110.0       33.8
   ---        0.0      169.0
    A1      110.0       33.8
   ---        0.0      371.8
    A1      110.0       33.8
   C#4      554.5       29.6
   ---        0.0      139.4
    G1       98.0       33.8
    D4      587.5       29.6
   ---        0.0      236.6
    B3      494.1       67.6
   ---        0.0       33.8
    A3      440.1       67.6
   ---        0.0      139.4
    A1      110.0       33.8
   C#4      554.5       29.6
   ---        0.0      342.2
    A1      110.0       33.8
   ---        0.0      169.0
    G1       98.0       33.8
    D4      587.5       29.6
   ---        0.0      139.4
    D2      146.9       33.8
   ---        0.0       63.4
    B3      494.1       67.6
   ---        0.0       38.0
    G2      196.0       33.8
    A3      440.1       29.6
   ---        0.0      139.4
    B1      123.5       33.8
    B3      494.1       29.6
   ---        0.0      139.4
   F#2      185.0       33.8
   ---        0.0      169.0
    B2      247.0       33.8
   ---        0.0      169.0
    B1      123.5       33.8
    A3      440.1       29.6
   ---        0.0      139.4
   F#2      185.0       33.8
   ---        0.0      169.0
    B2      247.0       33.8
